@relation okGoogle

@attribute DCAreaAX numeric
@attribute DCAreaAY numeric
@attribute DCAreaAZ numeric
@attribute DCAreaGX numeric
@attribute DCAreaGY numeric
@attribute DCAreaGZ numeric
@attribute DCMeanAX numeric
@attribute DCMeanAY numeric
@attribute DCMeanAZ numeric
@attribute DCMeanGX numeric
@attribute DCMeanGY numeric
@attribute DCMeanGZ numeric
@attribute DCTotalMeanA numeric
@attribute DCTotalMeanG numeric
@attribute DCPostureDistAX numeric
@attribute DCPostureDistAY numeric
@attribute DCPostureDistAZ numeric
@attribute DCPostureDistGX numeric
@attribute DCPostureDistGY numeric
@attribute DCPostureDistGZ numeric
@attribute ACAbsAreaAX numeric
@attribute ACAbsAreaAY numeric
@attribute ACAbsAreaAZ numeric
@attribute ACAbsAreaGX numeric
@attribute ACAbsAreaGY numeric
@attribute ACAbsAreaGZ numeric
@attribute ACTotalAbsAreaA numeric
@attribute ACTotalAbsAreaG numeric
@attribute ACAbsMeanAX numeric
@attribute ACAbsMeanAY numeric
@attribute ACAbsMeanAZ numeric
@attribute ACAbsMeanGX numeric
@attribute ACAbsMeanGY numeric
@attribute ACAbsMeanGZ numeric
@attribute ACEnergyAX numeric
@attribute ACEnergyAY numeric
@attribute ACEnergyAZ numeric
@attribute ACEnergyGX numeric
@attribute ACEnergyGY numeric
@attribute ACEnergyGZ numeric
@attribute ACVarAX numeric
@attribute ACVarAY numeric
@attribute ACVarAZ numeric
@attribute ACVarGX numeric
@attribute ACVarGY numeric
@attribute ACVarGZ numeric
@attribute ACAbsCVAX numeric
@attribute ACAbsCVAY numeric
@attribute ACAbsCVAZ numeric
@attribute ACAbsCVGX numeric
@attribute ACAbsCVGY numeric
@attribute ACAbsCVGZ numeric
@attribute ACIQRAX numeric
@attribute ACIQRAY numeric
@attribute ACIQRAZ numeric
@attribute ACIQRGX numeric
@attribute ACIQRGY numeric
@attribute ACIQRGZ numeric
@attribute ACRangeAX numeric
@attribute ACRangeAY numeric
@attribute ACRangeAZ numeric
@attribute ACRangeGX numeric
@attribute ACRangeGY numeric
@attribute ACRangeGZ numeric

@data
-27.255594,100.202141,111.205879,-25.19105,98.005486,111.469009,-1.81704,6.680143,7.413725,-0.839702,3.26685,3.715634,12.276829,6.142782,-8.497183,-9.230765,-0.733582,-4.106551,-4.555335,-0.448784,27.255594,100.202141,111.205879,31.237673,102.503197,112.945496,238.663605,246.686371,1.81704,6.680143,7.413725,1.041256,3.416773,3.76485,18.585724,184.484711,285.610748,110.354073,721.591187,1186.181152,0.225601,0.54903,2.615436,1.119437,11.935996,14.996337,26.140017,11.092063,21.814011,82.632919,96.777138,101.589165,0.718261,0.833182,1.024718,2.011336,6.778379,7.608202,1.838747,3.20823,7.153874,3.09295,9.532749,9.239944
-7.49864,50.479351,62.057709,-6.985168,51.554234,63.629017,-0.576818,3.883027,4.77367,-0.25871,1.909416,2.35663,8.079879,4.007336,-4.459846,-5.350488,-0.890643,-2.168126,-2.61534,-0.447214,34.96492,53.448162,99.828621,79.277023,68.233414,111.273102,188.241699,258.783539,2.689609,4.111397,7.679125,2.936186,2.527164,4.121226,471.079041,164.21344,3932.299561,2503.098145,1330.236694,8521.368164,8.869302,5.655536,67.554771,13.202894,7.064871,38.452755,52.1586,47.599396,72.940941,73.430984,82.284653,126.133934,4.34787,2.576161,15.916653,5.090567,5.081969,3.571442,9.212889,8.389283,23.127989,15.884643,9.191625,23.127989
0.009576,66.779076,97.319519,2.486392,68.55278,94.46666,0.000638,4.451938,6.487968,0.08288,2.285093,3.148889,10.940545,5.516861,-4.4513,-6.487329,-2.03603,-2.202213,-3.066009,-0.863796,33.432632,66.779076,134.28598,81.706558,80.392487,147.182465,234.497681,309.281494,2.228842,4.451938,8.952398,2.723552,2.679749,4.906082,746.706421,375.699585,5235.9375,3326.872559,1536.609741,8998.141602,8.177629,6.642833,77.090462,10.627188,8.638984,50.306385,80.383316,57.8932,69.792458,65.848206,96.445099,122.555481,4.280832,4.309563,17.879898,5.533153,4.185064,8.910376,11.166557,8.983045,27.303476,11.797177,11.905926,27.303476
27.945124,48.48737,22.898144,23.721226,22.144705,23.171926,2.794512,4.848737,2.289814,1.186061,1.107235,1.158596,9.933064,3.451893,-2.054224,0.504698,2.558922,0.078826,0.027465,-0.051361,42.616791,54.654835,61.856594,78.522614,91.190254,74.617783,159.12822,244.330643,4.261679,5.465484,6.185659,3.926131,4.559513,3.730889,1457.829834,566.22406,1980.944336,4968.236328,6514.436523,4379.359863,26.441864,13.970375,45.532402,28.132101,30.162485,25.699093,94.12114,50.470608,57.187271,95.723656,71.403595,97.092567,9.662997,4.232948,10.955867,6.645323,8.417077,7.345411,15.351622,13.120225,21.729774,20.413757,21.77713,21.729774
0.737414,3.562572,142.579498,-1.090636,4.162334,142.240707,0.052672,0.254469,10.18425,-0.038951,0.148655,5.080025,10.491392,5.189729,-0.201797,-10.131577,-9.92978,-0.187606,-5.118977,-4.93137,5.353435,6.186617,142.579498,7.739699,7.847415,143.98143,154.119553,159.568542,0.382388,0.441901,10.18425,0.276418,0.280265,5.142194,14.313354,19.002844,631.469971,43.433167,48.597912,2466.406494,0.274736,0.318432,1.163457,0.237689,0.210031,26.645466,94.756973,98.095528,10.591222,145.96907,139.82988,99.179398,0.555455,0.114922,0.134075,0.127694,0.252204,10.456808,2.260126,2.269703,4.683058,2.88014,2.269703,12.570466
18.962076,37.847542,44.082043,10.126501,26.577765,45.002453,2.37026,4.730943,5.510255,0.632906,1.66111,2.812653,12.611458,5.10667,-2.360683,-3.139996,-0.779313,-1.028204,-2.179747,-1.151543,33.480515,41.14196,56.053051,64.399689,81.971596,69.058205,130.675522,215.429474,4.185064,5.142745,7.006631,4.024981,5.123225,4.316138,483.184235,328.395172,494.517792,1704.877441,1991.464111,791.645569,37.653893,17.6583,27.145483,32.036976,36.567299,24.118504,121.268417,71.688805,41.402924,100.112915,70.59053,84.813484,11.597513,4.76925,4.55856,4.308931,8.159439,7.169322,19.431341,13.541605,17.496826,22.624741,23.379774,17.496826
137.44632,672.732422,99.819061,121.013046,638.772949,111.732277,1.04126,5.096458,0.756205,0.823218,4.345394,0.760083,6.893923,5.928696,-4.055198,0.285055,4.340253,-3.522176,0.063134,3.585311,641.60791,738.218628,780.787598,704.639465,801.420654,804.860168,2160.614258,2310.920166,4.860666,5.592566,5.915058,4.793466,5.451841,5.475239,334403.65625,141095.15625,394819.53125,341709.59375,158050.359375,398883.09375,39.653526,13.419004,46.095303,38.771431,19.617062,41.94278,85.104126,50.940426,57.776165,84.668388,54.341114,64.682213,7.996634,4.386177,12.11466,7.757214,4.635175,10.467449,25.196579,18.770542,28.414387,26.457539,23.905323,28.414387
