@relation HomeWand

@attribute DCAreaAX numeric
@attribute DCAreaAY numeric
@attribute DCAreaAZ numeric
@attribute DCAreaGX numeric
@attribute DCAreaGY numeric
@attribute DCAreaGZ numeric
@attribute DCMeanAX numeric
@attribute DCMeanAY numeric
@attribute DCMeanAZ numeric
@attribute DCMeanGX numeric
@attribute DCMeanGY numeric
@attribute DCMeanGZ numeric
@attribute DCTotalMeanA numeric
@attribute DCTotalMeanG numeric
@attribute DCPostureDistAX numeric
@attribute DCPostureDistAY numeric
@attribute DCPostureDistAZ numeric
@attribute DCPostureDistGX numeric
@attribute DCPostureDistGY numeric
@attribute DCPostureDistGZ numeric
@attribute ACLowEnergyAX numeric
@attribute ACLowEnergyAY numeric
@attribute ACLowEnergyAZ numeric
@attribute ACLowEnergyGX numeric
@attribute ACLowEnergyGY numeric
@attribute ACLowEnergyGZ numeric
@attribute ACAbsAreaAX numeric
@attribute ACAbsAreaAY numeric
@attribute ACAbsAreaAZ numeric
@attribute ACAbsAreaGX numeric
@attribute ACAbsAreaGY numeric
@attribute ACAbsAreaGZ numeric
@attribute ACTotalAbsAreaA numeric
@attribute ACTotalAbsAreaG numeric
@attribute ACAbsMeanAX numeric
@attribute ACAbsMeanAY numeric
@attribute ACAbsMeanAZ numeric
@attribute ACAbsMeanGX numeric
@attribute ACAbsMeanGY numeric
@attribute ACAbsMeanGZ numeric
@attribute ACEnergyAX numeric
@attribute ACEnergyAY numeric
@attribute ACEnergyAZ numeric
@attribute ACEnergyGX numeric
@attribute ACEnergyGY numeric
@attribute ACEnergyGZ numeric
@attribute ACVarAX numeric
@attribute ACVarAY numeric
@attribute ACVarAZ numeric
@attribute ACVarGX numeric
@attribute ACVarGY numeric
@attribute ACVarGZ numeric
@attribute ACAbsCVAX numeric
@attribute ACAbsCVAY numeric
@attribute ACAbsCVAZ numeric
@attribute ACAbsCVGX numeric
@attribute ACAbsCVGY numeric
@attribute ACAbsCVGZ numeric
@attribute ACIQRAX numeric
@attribute ACIQRAY numeric
@attribute ACIQRAZ numeric
@attribute ACIQRGX numeric
@attribute ACIQRGY numeric
@attribute ACIQRGZ numeric
@attribute ACRangeAX numeric
@attribute ACRangeAY numeric
@attribute ACRangeAZ numeric
@attribute ACRangeGX numeric
@attribute ACRangeGY numeric
@attribute ACRangeGZ numeric
@attribute Class {okGoogle,weather,disney,coin,joke,schedule,news,whatalbum,soundpet,scarystory,nature,rockMusic,delivery,stop,time,twentySidedDie,timer,candy,mickeyAdventure,movieTimes}

@data
-51.242954,176.6548,4049.481934,-56.034245,184.906448,4479.800781,-0.120289,0.414683,9.505826,-0.065768,0.217026,5.257982,9.80022,5.40924,-0.534971,-9.626115,-9.091144,-0.282794,-5.32375,-5.040956,47.451569,971.759338,308873.34375,1241.932617,15333.452148,210548.5625,21.199835,35.917393,160.106918,53.583775,55.927258,214.236633,217.224152,323.747681,0.049765,0.084313,0.375838,0.062892,0.065642,0.251451,398.43692,1570.709106,35323.117188,3590.716553,4232.225098,91840.148438,0.006457,0.028842,0.646531,0.016837,0.01889,0.424369,126.77581,174.850327,189.131638,180.466766,183.953232,238.992523,0.041436,0.076167,0.2093,0.03281,0.047945,0.056127,0.578039,2.189949,8.387579,1.642443,2.189949,8.387579,okGoogle
-78.792564,201.712845,4013.473633,-84.460098,210.824432,4447.6875,-0.184959,0.473504,9.4213,-0.099132,0.247447,5.220291,9.709846,5.368605,-0.658463,-9.606259,-8.947796,-0.346578,-5.319422,-4.972844,373.45639,5491.188477,392247.90625,429.250244,13795.982422,261928.34375,29.232925,43.906597,101.71891,56.778721,65.61116,162.095337,174.858429,284.485229,0.068622,0.103067,0.238777,0.066642,0.077008,0.190253,507.096832,2353.950684,14526.038086,3159.282715,5380.736816,50694.675781,0.012621,0.04176,0.261754,0.014172,0.025225,0.232831,129.619232,171.205978,189.5,148.026352,180.374588,233.076828,0.059529,0.078776,0.195347,0.05526,0.050695,0.087554,1.026644,2.243391,5.786157,1.37027,2.243391,7.466776,okGoogle
-99.268173,193.129303,4012.991699,-103.57309,203.098038,4452.303223,-0.233024,0.453355,9.420168,-0.121565,0.238378,5.225708,9.6405,5.342521,-0.686379,-9.653192,-8.966813,-0.359943,-5.347273,-4.98733,238.566315,6530.694336,383219.15625,2028.61792,17347.445313,252051.578125,44.004555,46.267868,97.151901,70.224121,63.867599,162.25946,187.424316,296.351196,0.103297,0.10861,0.228056,0.082423,0.074962,0.190445,2416.526367,3331.816406,14116.545898,6782.829102,6734.869629,49875.453125,0.045999,0.057164,0.24644,0.030923,0.031291,0.22693,181.959702,196.111069,193.348373,188.464523,213.742157,229.276733,0.057592,0.063378,0.151087,0.044674,0.047529,0.087637,2.154474,2.744306,5.797104,2.154474,2.744306,7.471993,okGoogle
-57.314228,176.074661,3995.211914,-62.356621,183.927765,4423.716309,-0.134857,0.414293,9.400498,-0.073361,0.216386,5.204372,9.679935,5.347397,-0.54915,-9.535356,-8.986205,-0.289746,-5.277733,-4.987987,100.814529,1303.581299,328372.25,2193.331543,18064.359375,219086.671875,48.364899,62.935467,135.116394,76.848717,94.310356,191.163956,246.416763,362.323029,0.1138,0.148083,0.317921,0.09041,0.110953,0.224899,2956.000244,6523.897461,18503.052734,7681.030273,13745.638672,58069.460938,0.053471,0.111624,0.342552,0.03472,0.063175,0.273384,176.886597,202.244904,154.56813,180.210022,203.266556,209.881927,0.063245,0.074114,0.271188,0.049819,0.067748,0.056146,2.546149,3.822639,5.794681,2.546149,3.822639,7.480051,okGoogle
-38.284519,68.305336,4014.110596,-43.322357,77.764946,4451.212891,-0.090081,0.160718,9.444966,-0.050967,0.091488,5.236721,9.515603,5.277242,-0.2508,-9.535048,-9.284248,-0.142456,-5.287689,-5.145233,168.540253,493.98764,352602.84375,702.493958,959.869812,235829,30.654537,45.260456,118.181679,57.040794,66.145592,180.793579,194.09668,303.97998,0.072128,0.106495,0.278075,0.067107,0.077818,0.212698,996.758118,2793.956299,18503.205078,3457.171875,6708.437988,58425.621094,0.018006,0.050345,0.339695,0.016352,0.031779,0.273746,156.878586,185.44754,184.202591,162.209839,206.100555,224.742035,0.032477,0.04022,0.140715,0.02901,0.030704,0.056454,1.256816,2.530332,6.011883,1.367245,2.530332,7.463753,okGoogle
-72.304993,109.473228,4008.885742,-76.657593,118.971916,4478.549316,-0.170531,0.258192,9.454919,-0.090398,0.140297,5.281308,9.54258,5.331207,-0.428722,-9.625449,-9.196728,-0.230695,-5.371706,-5.141011,252.249466,319.48642,337184.03125,1665.145508,2477.396484,228669.859375,78.55172,51.343613,107.226112,98.477829,85.255043,175.33284,237.121429,359.065735,0.185263,0.121093,0.252892,0.11613,0.100537,0.20676,10024.806641,4075.11084,14832.333984,21489.685547,10834.307617,51474.164063,0.185541,0.073979,0.274842,0.099082,0.05033,0.243652,209.89978,201.123398,181.589859,251.932404,199.485199,216.782562,0.032443,0.050283,0.158851,0.022262,0.035713,0.08805,4.844381,3.50543,5.822868,4.844381,3.50543,7.486647,okGoogle
-26.358454,236.650543,3998.916748,-31.095572,244.006683,4434.044922,-0.06202,0.556825,9.409216,-0.036583,0.287067,5.216524,9.904021,5.467007,-0.618845,-9.471236,-8.852391,-0.32365,-5.253107,-4.929457,802.567261,10944.176758,393645.125,5598.45752,26258.574219,279644,26.680668,36.204231,122.8955,48.432735,52.42165,178.574753,185.780396,279.429138,0.062778,0.085186,0.289166,0.05698,0.061673,0.210088,665.509338,1116.575317,19630.607422,2169.880127,2736.510254,61071.453125,0.012796,0.021382,0.353926,0.010594,0.012889,0.278826,149.896606,139.518143,179.797394,150.431244,154.557709,230.592682,0.049831,0.079835,0.200933,0.046436,0.052459,0.070507,1.03514,1.605397,6.045747,1.039893,1.605397,7.483943,okGoogle
-87.77993,277.665375,4015.708252,-92.409744,286.4823,4439.605957,-0.205574,0.65027,9.404469,-0.108335,0.335853,5.204696,9.849166,5.432214,-0.855844,-9.610043,-8.754198,-0.444188,-5.313031,-4.868844,121.35479,10714.702148,399825.34375,1149.226807,27980.539063,266269.96875,57.836731,34.509701,129.11293,87.831024,57.412212,191.242813,221.459366,336.486053,0.135449,0.080819,0.302372,0.102967,0.067306,0.2242,4481.401367,939.6651,15062.037109,10675.677734,2279.539063,53190.019531,0.080462,0.015575,0.285177,0.047439,0.01196,0.244918,184.003281,117.66378,145.571457,186.39827,128.06308,196.785553,0.097774,0.101234,0.340979,0.075702,0.063955,0.111297,2.987186,1.143451,5.747939,2.987186,1.143451,7.438938,okGoogle
-87.218071,248.385941,4017.049561,-92.807678,258.514923,4460.178711,-0.204258,0.5817,9.40761,-0.108674,0.302711,5.222692,9.785052,5.416728,-0.785958,-9.611868,-8.82591,-0.411385,-5.331366,-4.919981,37.844646,9951.783203,391037.46875,1364.377441,15744.643555,232661.046875,30.830029,34.904827,123.604401,50.402401,61.067959,186.219666,189.339264,297.690033,0.072201,0.081744,0.289472,0.059019,0.071508,0.218056,1138.697021,1244.779541,19492.884766,2973.728027,3804.578369,60132.585938,0.020342,0.023128,0.338721,0.013522,0.018352,0.271875,170.355972,156.880844,174.422394,169.766495,160.903214,217.206223,0.045234,0.05935,0.239094,0.042802,0.051023,0.09544,1.583816,1.754505,5.810064,1.583816,1.754505,7.462121,okGoogle
-56.244488,207.858795,4022.683105,-60.537304,217.083649,4458.283203,-0.13172,0.486789,9.420803,-0.070887,0.254196,5.220472,9.775872,5.403782,-0.618509,-9.552524,-8.934014,-0.325083,-5.291359,-4.966276,466.814667,7563.334473,384796.6875,3212.854248,28831.867188,241347.796875,31.675659,44.068821,133.440277,53.125576,62.290531,188.661346,209.184753,304.077454,0.074182,0.103206,0.312506,0.062208,0.07294,0.220915,823.163696,1394.392822,17480.353516,2211.513916,3599.648193,60387.691406,0.011557,0.027687,0.349936,0.009406,0.01634,0.275186,104.887047,126.466812,160.723145,119.611649,143.919479,215.375702,0.104688,0.115144,0.334184,0.074719,0.067745,0.099704,0.867722,1.526259,5.890341,0.913564,1.526259,7.470659,okGoogle
